,FL-10,CO-4,CO-7,IL-3,IA-9,IA-8,FL-7,IA-4,IA-2,MA-1,CA-2,CA-4,NJ-ALL,MN-1,IL-2,MI-3,MI-5,MI-4,ID-13,NY-3,NC-3,IA-15,OH-8
FL-10,1.0,Nan,0.563366928393,0.456648567087,-0.330697638874,0.00961176998803,-0.391805916803,Nan,0.673820541114,0.759848442966,-0.843230926529,-0.468786644777,0.284533826879,0.371844784695,Nan,-0.0831789106421,Nan,-0.236301630121,-0.103683419197,Nan,0.196013989126,0.615186289786,0.0965339358213
CO-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
CO-7,0.563366928393,Nan,1.0,0.144944898515,-0.183935472716,-0.104878394051,-0.0994718277619,Nan,0.446973669225,0.312497744285,0.00828889034405,-0.244274593974,-0.310876964857,0.414377265289,Nan,-0.0881369495736,Nan,-0.27522820224,0.0954770550126,Nan,-0.361469623013,0.493514269539,0.156007970061
IL-3,0.456648567087,Nan,0.144944898515,1.0,-0.355294789262,-0.00731887587081,-0.171645936434,Nan,0.464324888334,0.52593553455,-0.552533168977,0.0192476843226,0.6741208651,0.308865654477,Nan,-0.341514660709,Nan,-0.164134283348,-0.14960314094,Nan,-0.0347034740159,0.178723134646,0.0261487184984
IA-9,-0.330697638874,Nan,-0.183935472716,-0.355294789262,1.0,-0.341850756131,0.573949581508,Nan,-0.234529267551,-0.411069961065,nan,0.299265243404,-0.216128159664,0.201011172898,Nan,0.757093210112,Nan,0.658336950916,0.296345600409,Nan,-0.282043765123,-0.347966927326,-0.21156244927
IA-8,0.00961176998803,Nan,-0.104878394051,-0.00731887587081,-0.341850756131,1.0,-0.548840968499,Nan,0.41752221529,-0.00785670769265,0.651926354208,-0.534854570475,0.154690242646,-0.469666761032,Nan,-0.663000750718,Nan,-0.243039731936,-0.45000061394,Nan,0.280726588059,0.527637560204,0.386844409572
FL-7,-0.391805916803,Nan,-0.0994718277619,-0.171645936434,0.573949581508,-0.548840968499,1.0,Nan,-0.534458218836,-0.756507229178,0.120789188563,0.62516855436,-0.265761922129,0.206500196014,Nan,0.626459012263,Nan,0.834080068697,0.395833325218,Nan,-0.188540224522,-0.458992358467,-0.334624475233
IA-4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
IA-2,0.673820541114,Nan,0.446973669225,0.464324888334,-0.234529267551,0.41752221529,-0.534458218836,Nan,1.0,0.596110392242,0.237971960779,-0.334702451364,0.173746147329,-0.0277632784821,Nan,-0.361113778202,Nan,-0.33526248062,-0.321448417501,Nan,0.251134238231,0.56171107409,0.278748726757
MA-1,0.759848442966,Nan,0.312497744285,0.52593553455,-0.411069961065,-0.00785670769265,-0.756507229178,Nan,0.596110392242,1.0,-0.994126850761,-0.554503407794,0.40861747302,0.330369055722,Nan,-0.211792380275,Nan,-0.502468767889,-0.0689545952442,Nan,0.434351439671,0.42758772286,0.188526251647
CA-2,-0.843230926529,Nan,0.00828889034405,-0.552533168977,nan,0.651926354208,0.120789188563,Nan,0.237971960779,-0.994126850761,1.0,0.225360737122,-0.804144451985,-0.643037329016,Nan,-1.0,Nan,-0.306523615871,0.333496604638,Nan,0.314320184383,-0.809518982067,0.165340754074
CA-4,-0.468786644777,Nan,-0.244274593974,0.0192476843226,0.299265243404,-0.534854570475,0.62516855436,Nan,-0.334702451364,-0.554503407794,0.225360737122,1.0,-0.132333141406,0.07043871345,Nan,0.393519336143,Nan,0.444644822781,0.0969429051437,Nan,-0.289289660215,-0.249802423258,-0.191612342442
NJ-ALL,0.284533826879,Nan,-0.310876964857,0.6741208651,-0.216128159664,0.154690242646,-0.265761922129,Nan,0.173746147329,0.40861747302,-0.804144451985,-0.132333141406,1.0,-0.046798327516,Nan,-0.199037354381,Nan,0.015223604289,-0.411856915027,Nan,0.389989358279,0.0211116322381,0.366250285454
MN-1,0.371844784695,Nan,0.414377265289,0.308865654477,0.201011172898,-0.469666761032,0.206500196014,Nan,-0.0277632784821,0.330369055722,-0.643037329016,0.07043871345,-0.046798327516,1.0,Nan,0.351051680121,Nan,0.261578404927,0.535060054028,Nan,-0.468792935366,-0.272406392891,-0.334073566671
IL-2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-3,-0.0831789106421,Nan,-0.0881369495736,-0.341514660709,0.757093210112,-0.663000750718,0.626459012263,Nan,-0.361113778202,-0.211792380275,-1.0,0.393519336143,-0.199037354381,0.351051680121,Nan,1.0,Nan,0.791214427904,0.488643248409,Nan,-0.387597830988,-0.617669646366,-0.197028505003
MI-5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
MI-4,-0.236301630121,Nan,-0.27522820224,-0.164134283348,0.658336950916,-0.243039731936,0.834080068697,Nan,-0.33526248062,-0.502468767889,-0.306523615871,0.444644822781,0.015223604289,0.261578404927,Nan,0.791214427904,Nan,1.0,0.0393493167913,Nan,-0.330260121673,-0.582480816395,-0.103546338796
ID-13,-0.103683419197,Nan,0.0954770550126,-0.14960314094,0.296345600409,-0.45000061394,0.395833325218,Nan,-0.321448417501,-0.0689545952442,0.333496604638,0.0969429051437,-0.411856915027,0.535060054028,Nan,0.488643248409,Nan,0.0393493167913,1.0,Nan,-0.458443244195,-0.285639194312,-0.240515757135
NY-3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
NC-3,0.196013989126,Nan,-0.361469623013,-0.0347034740159,-0.282043765123,0.280726588059,-0.188540224522,Nan,0.251134238231,0.434351439671,0.314320184383,-0.289289660215,0.389989358279,-0.468792935366,Nan,-0.387597830988,Nan,-0.330260121673,-0.458443244195,Nan,1.0,-0.0507668445964,0.444109354814
IA-15,0.615186289786,Nan,0.493514269539,0.178723134646,-0.347966927326,0.527637560204,-0.458992358467,Nan,0.56171107409,0.42758772286,-0.809518982067,-0.249802423258,0.0211116322381,-0.272406392891,Nan,-0.617669646366,Nan,-0.582480816395,-0.285639194312,Nan,-0.0507668445964,1.0,0.116992108304
OH-8,0.0965339358213,Nan,0.156007970061,0.0261487184984,-0.21156244927,0.386844409572,-0.334624475233,Nan,0.278748726757,0.188526251647,0.165340754074,-0.191612342442,0.366250285454,-0.334073566671,Nan,-0.197028505003,Nan,-0.103546338796,-0.240515757135,Nan,0.444109354814,0.116992108304,1.0
